id,street,lon,lat
30372096,"""Świętej Gertrudy""",19.9412015,50.0589162
2420153436,"""Westerplatte""",19.9449476,50.0646229
2420200270,"""Westerplatte""",19.9449186,50.0645398
2420216135,"""Westerplatte""",19.9449664,50.0641879
226835604,"""Westerplatte""",19.9450152,50.0638328
6643622533,"""Westerplatte""",19.9450642,50.0633876
6643622527,"""Westerplatte""",19.9441233,50.0611752
2989799604,"""Westerplatte""",19.9440763,50.0611080
2989855498,"""Westerplatte""",19.9439954,50.0610038
226835987,"""Westerplatte""",19.9439081,50.0609100
6643622512,"""Westerplatte""",19.9437284,50.0607462
6643622512,"""Westerplatte""",19.9437284,50.0607462
2989855493,"""Westerplatte""",19.9435616,50.0606166
5441319481,"""Westerplatte""",19.9424384,50.0598061
2420216114,"""Westerplatte""",19.9423231,50.0597231
6643622515,"""Westerplatte""",19.9421312,50.0595854
6643622531,"""Westerplatte""",19.9449678,50.0627780
6643622530,"""Westerplatte""",19.9449468,50.0626584
6643622529,"""Westerplatte""",19.9449037,50.0625194
6643622528,"""Westerplatte""",19.9448443,50.0624028
6643622527,"""Westerplatte""",19.9441233,50.0611752
6643622533,"""Westerplatte""",19.9450642,50.0633876
2989855506,"""Westerplatte""",19.9450617,50.0633422
226835711,"""Westerplatte""",19.9450165,50.0630685
6643622531,"""Westerplatte""",19.9449678,50.0627780
2423481579,"""Teatr Słowackiego""",19.9455787,50.0646859
3021379391,"""Teatr Słowackiego""",19.9455760,50.0647009
2423481581,"""Teatr Słowackiego""",19.9455734,50.0647153
2423481582,"""Teatr Słowackiego""",19.9458660,50.0647370
3021379398,"""Teatr Słowackiego""",19.9458685,50.0647233
2423481580,"""Teatr Słowackiego""",19.9458713,50.0647076
2423481579,"""Teatr Słowackiego""",19.9455787,50.0646859
2423481577,"""Teatr Słowackiego""",19.9445450,50.0646605
2560355743,"""Teatr Słowackiego""",19.9445322,50.0646455
2423481573,"""Teatr Słowackiego""",19.9445108,50.0646205
2423481583,"""Teatr Słowackiego""",19.9442263,50.0647184
2560355744,"""Teatr Słowackiego""",19.9442446,50.0647400
2423481584,"""Teatr Słowackiego""",19.9442633,50.0647620
2423481577,"""Teatr Słowackiego""",19.9445450,50.0646605
2423481574,"""Teatr Słowackiego""",19.9454216,50.0646119
2861478124,"""Teatr Słowackiego""",19.9453184,50.0646097
2423481576,"""Teatr Słowackiego""",19.9453125,50.0646287
2423481578,"""Teatr Słowackiego""",19.9458254,50.0646728
2861478125,"""Teatr Słowackiego""",19.9460408,50.0646805
2423481575,"""Teatr Słowackiego""",19.9460427,50.0646661
2423481574,"""Teatr Słowackiego""",19.9454216,50.0646119
2423481571,"""Teatr Słowackiego""",19.9450419,50.0643093
272801045,"""Teatr Słowackiego""",19.9450664,50.0643111
2423481572,"""Teatr Słowackiego""",19.9450793,50.0643109
2423481570,"""Teatr Słowackiego""",19.9451067,50.0640778
3001082973,"""Teatr Słowackiego""",19.9450912,50.0640770
2423481569,"""Teatr Słowackiego""",19.9450743,50.0640760
2423481571,"""Teatr Słowackiego""",19.9450419,50.0643093
2423454174,"""Stary Kleparz""",19.9404071,50.0662329
2423454175,"""Stary Kleparz""",19.9404214,50.0662513
2423454171,"""Stary Kleparz""",19.9406469,50.0661793
2423454168,"""Stary Kleparz""",19.9406326,50.0661608
2423454174,"""Stary Kleparz""",19.9404071,50.0662329
2423454172,"""Stary Kleparz""",19.9377255,50.0661690
2423454173,"""Stary Kleparz""",19.9385631,50.0661965
3126102604,"""Stary Kleparz""",19.9385639,50.0661864
2423454170,"""Stary Kleparz""",19.9385646,50.0661776
2423454169,"""Stary Kleparz""",19.9377270,50.0661500
3126102603,"""Stary Kleparz""",19.9377263,50.0661595
2423454172,"""Stary Kleparz""",19.9377255,50.0661690
2423454181,"""Stary Kleparz""",19.9389537,50.0665781
2423454180,"""Stary Kleparz""",19.9389272,50.0665745
2423454182,"""Stary Kleparz""",19.9388298,50.0668665
2423454183,"""Stary Kleparz""",19.9388563,50.0668701
2423454181,"""Stary Kleparz""",19.9389537,50.0665781
2423454177,"""Stary Kleparz""",19.9396685,50.0663504
6806764920,"""Stary Kleparz""",19.9396688,50.0663592
2423454179,"""Stary Kleparz""",19.9396692,50.0663722
2423454178,"""Stary Kleparz""",19.9398466,50.0663698
2423454176,"""Stary Kleparz""",19.9398458,50.0663479
2423454177,"""Stary Kleparz""",19.9396685,50.0663504
1291475626,"""Teatr Bagatela""",19.9319653,50.0635552
